properties.type,properties.timing,properties.speciesId,properties.date,properties.createdAt,geometry.coordinates
water,day,119,2016-07-10T10:00:00.000Z,2016-07-14T04:27:58.985Z,"[-157.7052875727154,21.278291910658552]"
normal,day,52,2016-07-14T04:00:00.000Z,2016-07-14T04:28:27.809Z,"[-84.02709458115605,39.80267477536785]"
poison,day,23,2016-07-13T20:00:00.000Z,2016-07-14T04:29:32.947Z,"[55.32529511314067,25.261352140049297]"
normal,night,52,2016-07-12T07:00:00.000Z,2016-07-14T04:30:09.773Z,"[-122.25465622342026,47.50706862298]"
water,day,129,2016-07-14T04:00:00.000Z,2016-07-14T04:30:44.359Z,"[-84.12840801390747,39.78781409406437]"
water,day,54,2016-07-14T04:00:00.000Z,2016-07-14T04:30:56.414Z,"[-84.13222861395046,39.786119074328326]"
water,day,120,2016-07-14T04:00:00.000Z,2016-07-14T04:31:04.213Z,"[-84.13582351034133,39.78365015710878]"
ghost,day,92,2016-07-13T05:00:00.000Z,2016-07-14T04:35:13.003Z,"[-79.50795325919478,8.97636967481597]"
poison,day,109,2016-07-09T07:00:00.000Z,2016-07-14T04:35:30.922Z,"[-122.71736309964153,45.454528879178866]"
psychic,night,63,2016-07-13T07:00:00.000Z,2016-07-14T04:35:33.126Z,"[-118.20165600771573,34.13940202080491]"
fighting,night,56,2016-07-13T07:00:00.000Z,2016-07-14T04:35:40.112Z,"[-118.20157632509448,34.13924152243584]"
water,night,120,2016-07-13T23:00:00.000Z,2016-07-14T04:36:02.262Z,"[-2.1176087508941066,51.4585845448168]"
bug,night,123,2016-07-13T07:00:00.000Z,2016-07-14T04:36:10.654Z,"[-121.32426715381851,38.56497789022342]"
water,day,54,2016-07-13T23:00:00.000Z,2016-07-14T04:36:21.516Z,"[-2.1168334149091095,51.459095131526965]"
normal,night,18,2016-07-13T07:00:00.000Z,2016-07-14T04:36:24.217Z,"[-121.32440313497077,38.56739919110015]"
water,day,79,2016-07-13T23:00:00.000Z,2016-07-14T04:36:31.056Z,"[-2.1169942400573234,51.45917494676786]"
ground,night,112,2016-07-13T07:00:00.000Z,2016-07-14T04:36:35.927Z,"[-118.18945170348753,34.13719719872523]"
grass,night,102,2016-07-13T07:00:00.000Z,2016-07-14T04:36:35.619Z,"[-121.326608556814,38.567318301597055]"
bug,day,46,2016-07-13T07:00:00.000Z,2016-07-14T04:36:39.081Z,"[-122.73005987406168,45.437701494382395]"
fire,night,38,2016-07-13T07:00:00.000Z,2016-07-14T04:36:48.902Z,"[-118.18816575744714,34.13691336391848]"
electric,night,25,2016-07-13T07:00:00.000Z,2016-07-14T04:36:59.386Z,"[-121.32801854571264,38.56731206147731]"
ice,night,124,2016-07-13T23:00:00.000Z,2016-07-14T04:36:59.531Z,"[-2.1184531032931204,51.45997999881905]"
normal,day,21,2016-07-13T23:00:00.000Z,2016-07-14T04:37:24.912Z,"[-2.1169056988257466,51.458147349206854]"
normal,night,19,2016-07-14T04:00:00.000Z,2016-07-14T04:37:32.265Z,"[-74.57089076052412,39.414114128815044]"
bug,day,127,2016-07-13T07:00:00.000Z,2016-07-14T04:37:34.116Z,"[-121.32929240171916,38.56731972151505]"
normal,night,21,2016-07-14T04:00:00.000Z,2016-07-14T04:37:39.228Z,"[-74.57055001399766,39.414009636170505]"
psychic,day,96,2016-07-13T23:00:00.000Z,2016-07-14T04:37:44.052Z,"[-2.1176200881719467,51.45977883969539]"
water,day,129,2016-07-13T04:00:00.000Z,2016-07-14T04:38:00.065Z,"[-76.47715709101038,37.218467826293804]"
grass,night,1,2016-07-13T07:00:00.000Z,2016-07-14T04:38:25.523Z,"[-115.16491325079022,36.010558695969095]"
bug,day,123,2016-07-14T04:00:00.000Z,2016-07-14T04:39:07.749Z,"[-84.01050673001737,39.78757107310287]"
normal,day,143,2016-07-14T04:00:00.000Z,2016-07-14T04:39:10.641Z,"[-79.34381057536024,43.68500056353372]"
bug,day,123,2016-07-14T04:00:00.000Z,2016-07-14T04:39:16.727Z,"[-84.01000655875275,39.784741784700685]"
poison,day,109,2016-07-13T12:00:00.000Z,2016-07-14T04:39:46.201Z,"[174.92482440056295,-37.041943759383905]"
water,day,60,2016-07-14T04:00:00.000Z,2016-07-14T04:39:58.890Z,"[-84.13869138801918,39.783026748776194]"
water,day,120,2016-07-13T07:00:00.000Z,2016-07-14T04:40:19.212Z,"[-122.80368882691573,45.48694639372522]"
electric,night,25,2016-07-14T04:00:00.000Z,2016-07-14T04:40:36.156Z,"[-73.69244113844972,42.72817349397502]"
poison,day,42,2016-07-11T07:00:00.000Z,2016-07-14T04:40:54.353Z,"[-122.8038266855491,45.48702158862554]"
normal,day,128,2016-07-13T07:00:00.000Z,2016-07-14T04:41:00.389Z,"[-122.76927480326952,45.43015247833992]"
fire,day,37,2016-07-14T04:00:00.000Z,2016-07-14T04:41:07.801Z,"[-84.04973592725057,39.773396751571]"
normal,day,20,2016-07-13T07:00:00.000Z,2016-07-14T04:41:10.494Z,"[-122.76967198995797,45.43032662487093]"
electric,day,125,2016-07-13T18:30:00.000Z,2016-07-14T04:41:45.350Z,"[80.21471391504934,13.087226491291702]"
bug,day,49,2016-07-12T07:00:00.000Z,2016-07-14T04:41:51.099Z,"[-122.78177112943274,45.51013937667574]"
psychic,night,63,2016-07-13T07:00:00.000Z,2016-07-14T04:42:09.866Z,"[-122.71889601592619,45.45456172038661]"
normal,day,84,2016-07-13T18:30:00.000Z,2016-07-14T04:42:24.169Z,"[80.21534673313448,13.087428775773432]"
electric,day,125,2016-07-13T18:30:00.000Z,2016-07-14T04:42:42.251Z,"[80.21519081523007,13.087995253316592]"
water,day,134,2016-07-10T07:00:00.000Z,2016-07-14T04:42:53.769Z,"[-122.84843647733328,45.51147437133764]"
normal,day,22,2016-07-12T07:00:00.000Z,2016-07-14T04:43:55.637Z,"[-122.69384582779816,45.518027527554835]"
grass,day,102,2016-07-13T07:00:00.000Z,2016-07-14T04:44:27.770Z,"[-122.766574628309,45.38595610389348]"
grass,day,43,2016-07-12T07:00:00.000Z,2016-07-14T04:44:33.462Z,"[-122.84867958361947,45.51190277944852]"
bug,day,10,2016-07-11T07:00:00.000Z,2016-07-14T04:44:56.000Z,"[-122.84861539158365,45.51150848941555]"
normal,day,16,2016-07-12T07:00:00.000Z,2016-07-14T04:45:29.620Z,"[-122.78095366448107,45.51012806738575]"
poison,day,24,2016-07-13T07:00:00.000Z,2016-07-14T04:45:46.952Z,"[-122.76947475396392,45.38472653340497]"
bug,night,123,2016-07-07T21:00:00.000Z,2016-07-14T04:45:57.476Z,"[23.341787619624426,42.65008700688975]"
grass,day,43,2016-07-12T07:00:00.000Z,2016-07-14T04:46:33.900Z,"[-122.67684698337757,45.519521776518985]"
water,day,54,2016-07-13T07:00:00.000Z,2016-07-14T04:46:41.802Z,"[-122.09554106667204,47.93001084682908]"
normal,day,133,2016-07-13T07:00:00.000Z,2016-07-14T04:47:05.995Z,"[-122.8489317962931,45.51166865125788]"
fire,night,4,2016-07-06T21:00:00.000Z,2016-07-14T04:47:16.677Z,"[48.089320554218716,29.338456489062708]"
water,day,60,2016-07-13T07:00:00.000Z,2016-07-14T04:47:47.763Z,"[-122.68127755778337,45.52380576426512]"
water,day,120,2016-07-12T04:00:00.000Z,2016-07-14T04:49:07.244Z,"[-84.74353134383614,42.75485374627732]"
normal,day,52,2016-07-13T07:00:00.000Z,2016-07-14T04:50:28.178Z,"[-122.8542847448216,45.51145444864525]"
normal,day,52,2016-07-13T07:00:00.000Z,2016-07-14T04:50:41.524Z,"[-122.8542847448216,45.51145444864525]"
normal,day,52,2016-07-13T07:00:00.000Z,2016-07-14T04:50:56.284Z,"[-122.84122958558484,45.544949562546435]"
dragon,day,147,2016-07-11T07:00:00.000Z,2016-07-14T04:51:15.154Z,"[-122.61162434357524,45.61134645860818]"
poison,day,23,2016-07-13T07:00:00.000Z,2016-07-14T04:51:20.178Z,"[-122.83843373850729,45.53284805226002]"
water,day,131,2016-07-13T04:00:00.000Z,2016-07-14T04:51:21.296Z,"[-84.85650674452421,39.824611183576366]"
water,day,54,2016-07-11T07:00:00.000Z,2016-07-14T04:51:46.834Z,"[-122.61187812551859,45.61108090606314]"
bug,day,10,2016-07-13T05:00:00.000Z,2016-07-14T04:51:50.704Z,"[-103.38616956789909,25.556859792900994]"
fire,day,37,2016-07-11T07:00:00.000Z,2016-07-14T04:52:07.065Z,"[-122.61180314207687,45.6112018546211]"
electric,day,125,2016-07-11T07:00:00.000Z,2016-07-14T04:52:46.562Z,"[-122.61972175349692,45.61525248222148]"
fire,day,77,2016-07-11T07:00:00.000Z,2016-07-14T04:53:41.440Z,"[-122.65368944744966,45.627312044376026]"
fighting,night,57,2016-07-13T07:00:00.000Z,2016-07-14T04:53:57.063Z,"[-117.96208880088426,33.7890156148443]"
rock,day,140,2016-07-13T05:00:00.000Z,2016-07-14T04:54:15.081Z,"[-103.38639466832169,25.55584972795873]"
electric,day,145,2016-07-13T22:00:00.000Z,2016-07-14T04:54:22.167Z,"[9.991055496634687,55.70580998497982]"
psychic,day,63,2016-07-13T07:00:00.000Z,2016-07-14T04:54:26.997Z,"[-122.6978997305279,45.58722851671655]"
dragon,night,147,2016-07-13T07:00:00.000Z,2016-07-14T04:55:22.001Z,"[-122.53950302468161,45.509635363733736]"
bug,night,127,2016-07-13T07:00:00.000Z,2016-07-14T04:55:33.029Z,"[-122.5406912103424,45.50883888444608]"
bug,day,127,2016-07-13T05:00:00.000Z,2016-07-14T04:55:39.607Z,"[-103.40428726417045,25.57872187245306]"
normal,day,52,2016-07-13T07:00:00.000Z,2016-07-14T04:55:39.709Z,"[-122.73259923148227,45.57579217378196]"
normal,night,16,2016-07-13T07:00:00.000Z,2016-07-14T04:55:42.231Z,"[-122.54016250541892,45.50796252898593]"
ground,day,104,2016-07-13T05:00:00.000Z,2016-07-14T04:55:47.269Z,"[-103.40389876773133,25.57885583816777]"
normal,night,18,2016-07-13T07:00:00.000Z,2016-07-14T04:56:01.181Z,"[-122.5401549257453,45.50803459953556]"
normal,night,39,2016-07-14T04:00:00.000Z,2016-07-14T04:58:43.259Z,"[-77.1038186703404,39.05112489031566]"
bug,day,123,2016-07-12T07:00:00.000Z,2016-07-14T04:58:46.693Z,"[-122.37928817327844,45.540874909592134]"
dragon,night,147,2016-07-14T04:00:00.000Z,2016-07-14T04:59:16.733Z,"[-77.10239947103544,39.050863641918625]"
water,night,7,2016-07-14T04:00:00.000Z,2016-07-14T04:59:28.817Z,"[-77.10187113485965,39.05148546555216]"
normal,night,22,2016-07-14T04:00:00.000Z,2016-07-14T04:59:46.096Z,"[-77.10187113485986,39.050891760837914]"
normal,day,133,2016-07-13T06:00:00.000Z,2016-07-14T04:59:54.708Z,"[-104.889678403817,39.71187076913307]"
normal,day,19,2016-07-13T07:00:00.000Z,2016-07-14T05:00:04.678Z,"[-122.75734765587573,47.10280853635544]"
rock,day,74,2016-07-13T06:00:00.000Z,2016-07-14T05:00:07.741Z,"[-104.88959288912469,39.71182101678633]"
normal,day,21,2016-07-13T07:00:00.000Z,2016-07-14T05:00:14.574Z,"[-122.75839634996356,47.103038238722576]"
electric,day,125,2016-07-13T07:00:00.000Z,2016-07-14T05:00:17.656Z,"[-121.30085815455507,44.05622316859555]"
psychic,night,63,2016-07-09T07:00:00.000Z,2016-07-14T05:01:52.064Z,"[-118.37102956455954,34.15800624045555]"
grass,day,102,2016-07-13T07:00:00.000Z,2016-07-14T05:02:08.668Z,"[-122.33008144403621,47.40379613231855]"
fire,day,58,2016-07-13T07:00:00.000Z,2016-07-14T05:02:19.115Z,"[-122.32870251100292,47.40237421353146]"
water,day,118,2016-07-13T07:00:00.000Z,2016-07-14T05:02:25.761Z,"[-122.33044070578359,47.403349747667505]"
rock,day,74,2016-07-13T07:00:00.000Z,2016-07-14T05:02:32.904Z,"[-122.33024425001598,47.403565227349844]"
normal,day,128,2016-07-13T07:00:00.000Z,2016-07-14T05:03:12.850Z,"[-122.41688334961148,45.51561328691332]"
grass,day,1,2016-07-13T07:00:00.000Z,2016-07-14T05:03:49.717Z,"[-121.19007371546803,44.07445267388266]"
fairy,night,35,2016-07-13T07:00:00.000Z,2016-07-14T05:04:25.455Z,"[-122.43178843564702,45.49920948883275]"
normal,day,128,2016-07-12T07:00:00.000Z,2016-07-14T05:04:34.428Z,"[-122.76303056983446,47.0994112436274]"
ghost,night,92,2016-07-13T07:00:00.000Z,2016-07-14T05:04:58.843Z,"[-122.76707695820537,47.100909622403265]"
poison,day,41,2016-07-14T05:00:00.000Z,2016-07-14T05:05:17.939Z,"[-88.25505268350874,42.19475024207844]"
fire,day,126,2016-07-14T05:00:00.000Z,2016-07-14T05:05:24.165Z,"[-96.70522545097157,40.7444234322065]"
fire,day,126,2016-07-09T05:00:00.000Z,2016-07-14T05:05:55.386Z,"[-96.70460267503005,40.74467187041972]"
psychic,day,63,2016-07-11T05:00:00.000Z,2016-07-14T05:06:18.959Z,"[-96.70101147456488,40.75288079551382]"
dragon,night,147,2016-07-13T07:00:00.000Z,2016-07-14T05:07:17.721Z,"[-122.62808235405694,45.53969250873723]"
ground,night,104,2016-07-13T07:00:00.000Z,2016-07-14T05:07:40.119Z,"[-122.62822794562904,45.53834459688704]"
normal,day,128,2016-07-12T05:00:00.000Z,2016-07-14T05:08:19.307Z,"[-96.67876179887121,40.743805990551465]"
normal,day,128,2016-07-14T05:00:00.000Z,2016-07-14T05:08:31.454Z,"[-96.67817614316823,40.74239895270071]"
normal,night,133,2016-07-13T08:00:00.000Z,2016-07-14T05:11:29.480Z,"[-149.76582218540452,61.20775423820845]"
bug,night,13,2016-07-13T08:00:00.000Z,2016-07-14T05:11:52.496Z,"[-149.7681005276722,61.20616243547019]"
poison,day,30,2016-07-13T07:00:00.000Z,2016-07-14T05:12:01.691Z,"[-122.71292629853588,45.58037781349938]"
psychic,night,97,2016-07-13T08:00:00.000Z,2016-07-14T05:12:15.713Z,"[-149.76739932305748,61.20687311787003]"
fairy,day,35,2016-07-13T07:00:00.000Z,2016-07-14T05:13:23.518Z,"[-122.63608824555922,45.548912916715665]"
grass,day,69,2016-07-13T07:00:00.000Z,2016-07-14T05:13:35.673Z,"[-122.63963007493919,45.55073610552009]"
psychic,night,97,2016-07-14T02:30:00.000Z,2016-07-14T05:13:41.807Z,"[-55.200250228208006,47.136543468594226]"
bug,night,10,2016-07-14T02:30:00.000Z,2016-07-14T05:14:05.891Z,"[-55.053884966596996,47.21150779816054]"
bug,day,123,2016-07-11T23:00:00.000Z,2016-07-14T05:14:05.183Z,"[-2.1245751800900337,57.12333267449753]"
poison,night,30,2016-07-14T04:00:00.000Z,2016-07-14T05:14:13.666Z,"[-83.08321261035631,40.091427029504445]"
normal,night,19,2016-07-14T02:30:00.000Z,2016-07-14T05:14:19.549Z,"[-55.157661252500986,47.185629379118325]"
poison,night,29,2016-07-14T04:00:00.000Z,2016-07-14T05:14:22.031Z,"[-83.08310310222468,40.09141564882009]"
fairy,night,35,2016-07-14T02:30:00.000Z,2016-07-14T05:14:36.184Z,"[-55.172831283233805,47.152271892444816]"
poison,day,41,2016-07-14T04:00:00.000Z,2016-07-14T05:14:38.421Z,"[-83.08325486366276,40.09128158770534]"
ghost,night,93,2016-07-14T04:00:00.000Z,2016-07-14T05:14:59.736Z,"[-83.08310645327454,40.091281587705055]"
electric,day,100,2016-07-13T07:00:00.000Z,2016-07-14T05:15:39.132Z,"[-122.67271254923922,45.50251147456012]"
bug,night,48,2016-07-13T07:00:00.000Z,2016-07-14T05:16:05.851Z,"[-122.65438674062449,45.53132317310059]"
water,night,116,2016-07-13T07:00:00.000Z,2016-07-14T05:17:09.188Z,"[-122.64581741593807,45.554910195853296]"
bug,day,10,2016-07-10T07:00:00.000Z,2016-07-14T05:18:00.959Z,"[-122.27272079753163,47.830696630474336]"
normal,day,16,2016-07-13T21:00:00.000Z,2016-07-14T05:19:13.227Z,"[24.350489180345193,55.72542524967221]"
fairy,day,35,2016-07-09T07:00:00.000Z,2016-07-14T05:19:47.423Z,"[-122.20884824439659,47.97911837391234]"
ground,night,111,2016-07-13T07:00:00.000Z,2016-07-14T05:19:51.426Z,"[-121.48793851516024,38.582367645764776]"
bug,day,127,2016-07-14T05:00:00.000Z,2016-07-14T05:20:01.541Z,"[-90.30072398087452,38.64600534309048]"
normal,night,19,2016-07-13T06:00:00.000Z,2016-07-14T05:20:26.549Z,"[-116.17838103673495,56.49050656009533]"
water,night,134,2016-07-13T05:00:00.000Z,2016-07-14T05:20:42.765Z,"[-90.25554648941682,38.607374025743695]"
psychic,night,96,2016-07-12T07:00:00.000Z,2016-07-14T05:20:44.939Z,"[-122.21816893038914,47.9409649694866]"
normal,night,133,2016-07-09T07:00:00.000Z,2016-07-14T05:21:39.666Z,"[-122.21191569026703,47.9870040687224]"
ghost,night,92,2016-07-12T07:00:00.000Z,2016-07-14T05:22:43.443Z,"[-122.212996059536,47.98389202529947]"
ghost,night,92,2016-07-12T07:00:00.000Z,2016-07-14T05:22:53.708Z,"[-122.212996059536,47.98389202529947]"
bug,night,46,2016-07-13T06:00:00.000Z,2016-07-14T05:23:02.161Z,"[-114.07243696333255,51.09975742425169]"
ghost,night,92,2016-07-12T07:00:00.000Z,2016-07-14T05:23:04.646Z,"[-122.212996059536,47.98389202529947]"
electric,day,100,2016-07-13T21:00:00.000Z,2016-07-14T05:24:05.078Z,"[26.14170875186076,38.36537872395331]"
water,day,116,2016-07-13T07:00:00.000Z,2016-07-14T05:24:17.835Z,"[-122.2112578077429,47.92665860759334]"
water,day,61,2016-07-14T05:00:00.000Z,2016-07-14T05:24:52.478Z,"[-90.25752680078946,38.60713306745262]"
water,day,98,2016-07-13T07:00:00.000Z,2016-07-14T05:24:56.713Z,"[-122.22004498150756,47.93594875558202]"
normal,day,17,2016-07-12T21:00:00.000Z,2016-07-14T05:24:57.792Z,"[26.14057761483366,38.36684318252412]"
poison,day,23,2016-07-12T21:00:00.000Z,2016-07-14T05:25:29.286Z,"[26.13852079632764,38.36604734286837]"
water,day,98,2016-07-13T07:00:00.000Z,2016-07-14T05:25:31.179Z,"[-122.20966468479952,47.97899591483059]"
normal,day,52,2016-07-13T07:00:00.000Z,2016-07-14T05:26:03.673Z,"[-122.207358922329,47.99997890487333]"
grass,day,102,2016-07-14T05:00:00.000Z,2016-07-14T05:26:23.729Z,"[-90.34659484202065,38.590524473636236]"
bug,day,123,2016-07-13T07:00:00.000Z,2016-07-14T05:26:34.907Z,"[-122.63977510059215,45.523925490799996]"
rock,night,95,2016-07-13T07:00:00.000Z,2016-07-14T05:26:40.421Z,"[-121.48844075708361,38.58147124650563]"
poison,day,32,2016-07-13T07:00:00.000Z,2016-07-14T05:26:41.251Z,"[-122.20827074931267,47.999909000334526]"
poison,day,23,2016-07-13T07:00:00.000Z,2016-07-14T05:26:54.656Z,"[-122.64131649884321,45.526165599400514]"
bug,day,123,2016-07-14T05:00:00.000Z,2016-07-14T05:27:09.502Z,"[-90.28670894033613,38.63870346970876]"
normal,day,16,2016-07-13T07:00:00.000Z,2016-07-14T05:27:21.699Z,"[-122.18614362997363,47.99598616515178]"
fire,night,4,2016-07-12T21:00:00.000Z,2016-07-14T05:27:22.452Z,"[26.128739739175984,38.37123849126965]"
ghost,night,92,2016-07-09T07:00:00.000Z,2016-07-14T05:27:50.848Z,"[-122.64020621555278,45.52655257742026]"
normal,day,16,2016-07-13T07:00:00.000Z,2016-07-14T05:28:14.628Z,"[-122.27408494202652,47.82935639260518]"
fighting,night,66,2016-07-08T07:00:00.000Z,2016-07-14T05:28:19.369Z,"[-122.65387185197937,45.531368552995104]"
electric,night,125,2016-07-09T04:00:00.000Z,2016-07-14T05:28:41.294Z,"[-84.49868360180291,39.1002588307943]"
dragon,night,147,2016-07-09T04:00:00.000Z,2016-07-14T05:29:00.872Z,"[-84.49657305247572,39.10185566782678]"
grass,night,2,2016-07-13T06:00:00.000Z,2016-07-14T05:29:04.928Z,"[-106.39664058516945,31.651735186825817]"
normal,day,16,2016-07-13T07:00:00.000Z,2016-07-14T05:29:08.180Z,"[-122.21963725365973,47.93642094994533]"
grass,night,2,2016-07-12T07:00:00.000Z,2016-07-14T05:29:14.916Z,"[-120.48431844953738,37.30803541655993]"
water,day,120,2016-07-08T07:00:00.000Z,2016-07-14T05:29:23.898Z,"[-122.65041381346714,45.5314973233223]"
bug,day,123,2016-07-09T04:00:00.000Z,2016-07-14T05:29:50.549Z,"[-84.51872997033793,39.131216753148806]"
bug,night,48,2016-07-13T07:00:00.000Z,2016-07-14T05:29:50.275Z,"[-122.65154524550745,45.57066720235974]"
fire,night,59,2016-07-12T05:00:00.000Z,2016-07-14T05:29:51.304Z,"[-101.34693290023485,20.674041257934377]"
water,day,60,2016-07-13T07:00:00.000Z,2016-07-14T05:29:57.678Z,"[-122.21312460926907,48.0104394647735]"
water,day,54,2016-07-13T07:00:00.000Z,2016-07-14T05:30:12.840Z,"[-122.21318715361073,48.01036167189716]"
electric,night,25,2016-07-08T05:00:00.000Z,2016-07-14T05:30:17.411Z,"[-101.34252439632309,20.69573900534506]"
water,day,7,2016-07-13T07:00:00.000Z,2016-07-14T05:30:21.028Z,"[-118.11480213609974,33.74673333337404]"
water,day,7,2016-07-12T04:00:00.000Z,2016-07-14T05:30:43.077Z,"[-74.03682074699948,40.63903536355488]"
normal,day,19,2016-07-13T07:00:00.000Z,2016-07-14T05:30:52.908Z,"[-122.22026631006867,47.92937848288864]"
water,day,90,2016-07-13T07:00:00.000Z,2016-07-14T05:31:07.355Z,"[-122.21992773870768,47.92883653483912]"
bug,day,123,2016-07-12T04:00:00.000Z,2016-07-14T05:31:14.603Z,"[-74.0343832555946,40.63709227514187]"
bug,night,123,2016-07-12T07:00:00.000Z,2016-07-14T05:31:40.035Z,"[-122.61774610981243,45.54479265346191]"
normal,day,21,2016-07-13T07:00:00.000Z,2016-07-14T05:32:16.691Z,"[-122.27206530486359,47.83086500117659]"
dragon,day,147,2016-07-13T07:00:00.000Z,2016-07-14T05:32:26.034Z,"[-122.84228423281343,45.54478251379882]"
water,day,120,2016-07-13T07:00:00.000Z,2016-07-14T05:32:34.755Z,"[-122.2727882871491,47.83090858214155]"
fire,day,4,2016-07-13T07:00:00.000Z,2016-07-14T05:32:44.757Z,"[-122.77168259231985,45.47234055167769]"
fire,day,38,2016-07-11T06:00:00.000Z,2016-07-14T05:33:01.893Z,"[-116.20278172015873,43.603316947570306]"
grass,day,102,2016-07-13T07:00:00.000Z,2016-07-14T05:33:02.618Z,"[-122.78331114105303,45.47038230570661]"
fire,night,4,2016-07-07T07:00:00.000Z,2016-07-14T05:33:40.583Z,"[-123.06500989313018,44.96265204593388]"
water,day,72,2016-07-13T07:00:00.000Z,2016-07-14T05:34:05.212Z,"[-122.21324136887446,48.01030516751186]"
grass,day,69,2016-07-13T07:00:00.000Z,2016-07-14T05:34:45.200Z,"[-123.064699687999,44.9378421337463]"
electric,day,25,2016-07-13T06:00:00.000Z,2016-07-14T05:34:47.027Z,"[-116.32338494306552,43.621709440260986]"
bug,day,48,2016-07-13T07:00:00.000Z,2016-07-14T05:35:13.806Z,"[-122.21241036859094,47.9679841840931]"
normal,day,20,2016-07-11T06:00:00.000Z,2016-07-14T05:35:21.218Z,"[-116.3446846998662,43.625610644177954]"
fairy,night,35,2016-07-10T07:00:00.000Z,2016-07-14T05:35:23.966Z,"[-123.09301008693868,44.9418906203249]"
grass,day,69,2016-07-11T06:00:00.000Z,2016-07-14T05:35:41.779Z,"[-116.34737416759266,43.625681253892964]"
bug,day,48,2016-07-13T22:00:00.000Z,2016-07-14T05:35:41.258Z,"[31.403339762384604,29.986239789350066]"
poison,day,41,2016-07-13T07:00:00.000Z,2016-07-14T05:36:00.827Z,"[-122.20609690543469,48.00696245257646]"
fairy,day,35,2016-07-13T07:00:00.000Z,2016-07-14T05:36:05.063Z,"[-123.0449968065638,44.91107164941798]"
fire,day,4,2016-07-13T06:00:00.000Z,2016-07-14T05:36:11.904Z,"[-116.3224151619801,43.621241213511865]"
ground,day,111,2016-07-13T22:00:00.000Z,2016-07-14T05:36:33.781Z,"[31.403295173146375,29.986181128850234]"
grass,day,71,2016-07-13T10:00:00.000Z,2016-07-14T05:36:45.479Z,"[-158.02440110759534,21.532270094423566]"
ground,day,104,2016-07-13T07:00:00.000Z,2016-07-14T05:37:01.487Z,"[-123.02701510938923,44.94520284103757]"
ground,day,27,2016-07-13T22:00:00.000Z,2016-07-14T05:37:09.888Z,"[31.403267404736198,29.986234937621177]"
normal,day,84,2016-07-13T07:00:00.000Z,2016-07-14T05:38:45.881Z,"[-123.04039545704381,44.93703748711175]"
grass,day,1,2016-07-12T10:00:00.000Z,2016-07-14T05:38:59.460Z,"[-158.0243162403228,21.53967886548216]"
electric,day,125,2016-07-12T07:00:00.000Z,2016-07-14T05:39:01.133Z,"[-122.14215317715488,47.58781154879975]"
bug,day,10,2016-07-06T23:00:00.000Z,2016-07-14T05:39:05.829Z,"[-1.8150279279033157,52.46248439935172]"
ground,day,112,2016-07-13T06:00:00.000Z,2016-07-14T05:39:20.278Z,"[-116.24488276844518,43.57781655489717]"
bug,day,11,2016-07-06T23:00:00.000Z,2016-07-14T05:39:22.898Z,"[-1.8149076943213913,52.46214173779225]"
dragon,day,147,2016-07-13T22:00:00.000Z,2016-07-14T05:39:31.445Z,"[31.40435100245668,29.986185030990683]"
normal,day,52,2016-07-07T23:00:00.000Z,2016-07-14T05:39:35.640Z,"[-1.815245575262793,52.46225142983292]"
bug,day,49,2016-07-06T23:00:00.000Z,2016-07-14T05:39:48.358Z,"[-1.8153362480965143,52.46247851167894]"
dragon,day,147,2016-07-13T07:00:00.000Z,2016-07-14T05:40:11.728Z,"[-123.03412716024224,44.930345039712364]"
rock,day,142,2016-07-12T07:00:00.000Z,2016-07-14T05:40:18.511Z,"[-122.20346240423711,47.61186541780424]"
psychic,day,63,2016-07-13T03:00:00.000Z,2016-07-14T05:40:25.902Z,"[-46.72024432856102,-23.59705813033075]"
water,day,98,2016-07-08T23:00:00.000Z,2016-07-14T05:40:28.527Z,"[-1.8159391409084265,52.46221720806511]"
bug,day,13,2016-07-13T23:00:00.000Z,2016-07-14T05:40:39.120Z,"[-1.8163436106461006,52.46212261781642]"
normal,day,143,2016-07-13T03:00:00.000Z,2016-07-14T05:40:45.936Z,"[-46.72136157209923,-23.59399755469761]"
normal,day,16,2016-07-13T23:00:00.000Z,2016-07-14T05:40:47.585Z,"[-1.8156935914940107,52.46196197872837]"
normal,day,19,2016-07-13T23:00:00.000Z,2016-07-14T05:40:53.998Z,"[-1.8151787561845651,52.46180636146383]"
psychic,day,96,2016-07-13T07:00:00.000Z,2016-07-14T05:40:55.691Z,"[-123.02722266655064,44.944861705370016]"
water,day,7,2016-07-12T07:00:00.000Z,2016-07-14T05:40:59.019Z,"[-122.20287525608686,47.6123531195081]"
normal,day,20,2016-07-13T23:00:00.000Z,2016-07-14T05:41:01.036Z,"[-1.815849161324195,52.46167686883413]"
normal,day,21,2016-07-13T23:00:00.000Z,2016-07-14T05:41:08.682Z,"[-1.8143818574423278,52.46192412054518]"
fire,day,4,2016-07-12T07:00:00.000Z,2016-07-14T05:41:13.089Z,"[-122.20405795539818,47.61346551665895]"
poison,day,24,2016-07-13T22:00:00.000Z,2016-07-14T05:41:13.894Z,"[31.40432454362579,29.986176362236435]"
poison,day,23,2016-07-13T23:00:00.000Z,2016-07-14T05:41:15.112Z,"[-1.8136544680568818,52.46183782007677]"
psychic,day,96,2016-07-12T07:00:00.000Z,2016-07-14T05:41:33.824Z,"[-123.02728476559966,44.87730588428121]"
fighting,night,107,2016-07-13T03:00:00.000Z,2016-07-14T05:41:37.510Z,"[-46.71880843937913,-23.598142460783436]"
